mod_id,mod_installed_name,mod_version,file_installed_name
0,"!!Merged Audio","d2016.6.11","E:/Merged Mods/Audio Changes.7z"
0,"!!Merged Favorites","d2016.6.11","E:/Merged Mods/Favorites.7z"
0,"!!Merged Fixes","d2016.6.11","E:/Merged Mods/Fixes.7z"
0,"!!Merged Follower Overhaul","d2016.6.11","E:/Merged Mods/Follower Overhaul.7z"
0,"!!Merged Followers","d2016.6.11","E:/Merged Mods/Followers.7z"
0,"!!Merged Lighting","d2016.6.11","D:/Merged Skyrim Mods/Lighting.7z"
0,"!!Merged Utilities","d2016.6.11","D:/Merged Skyrim Mods/Utilities.7z"
0,"!!Merged Visuals","d2016.6.11","D:/Merged Skyrim Mods/Visuals.7z"
8429,"3DNPC v3","3.10.0.0","TKChildrren_3DNPC patch-8429-.7z"
4929,"A Quality World Map and Solstheim Map - With Roads","8.4.0.0","A Quality World Map - New Installer-4929-8-4.7z"
5312,"Acquisitive Soul Gems","2.5.6.0","Acquisitive Soul Gems - Dawnguard-5312-2-5-6.zip"
9557,"Alternate Start - Live Another Life","3.1.4.0","Alternate Start - Live Another Life-9557-3-1-4.7z"
42310,"aMidianBorn Bonemold armor","1.0.0.0","aMidianBorn bonemold-42310-1.7z"
50013,"aMidianBorn Solstheim Landscape 1K","1.0.0.0","aMidianBorn Solstheim Land 1K-50013-1.7z"
38491,"aMidianBorn Whiterun 1K","2.0.0.0","aMidianBorn Whiterun 1k-38491-2.7z"
57113,"Amulets of Skyrim","f4.05","Amulets of Skyrim-57113-4-05.zip"
43773,"Audio Overhaul for Skyrim 2","2.1.0.0","AOS_2_1_Installer-43773-2-1.rar"
25956,"BadGremlins Great Jar Hunt","3.1.0.0","add book to arcanaeum and riverwood trader-25956-3-1.7z"
0,"Banana Coinage","d2015.3.7","C:/Users/David/Downloads/Banana Coinage.7z"
63902,"Barenziah's Glory","2.1.0.0","Barenziahs Glory v2-1-63902-2-1.7z"
60421,"Bathing in Skyrim","1.11.0.0","Bathing in Skyrim 1.11-60421-1-11.zip"
18021,"Blacksmith Storage Chests","2.0.0.0","Blacksmith Chests_COMPLETE-18021-2-0.zip"
72817,"Blood of the Nord","f1.01","Blood of the Nord 1.01-72817-1-01.rar"
57120,"Book Covers Skyrim","1.7.0.0","Book Covers Skyrim - Lost Library - ORIGINAL-57120-1-7.7z"
64798,"Campfire - Complete Camping System","1.7.1.0","Campfire 1.7.1 Release-64798-1-7-1.zip"
26727,"Carpenter Chests for Hearthfire","1.0.0.0","Carpenter Chests for Hearthfire-26727-1-0.zip"
12092,"Cloaks of Skyrim","1.2.0.0","Cloaks of Skyrim 1-2 Dawnguard-12092-1-2.rar"
64249,"Compass Mod - Immersive Undiscovered Locations","1.2.0.0","Immersive Undiscovered Locations-64249-1-2.7z"
64249,"Compass Mod - LI-HUD Compatible","1.2.0.0","Immersive Undiscovered Locations - Less Intrusive HUD II-64249-1-1.7z"
69306,"Complete Alchemy and Cooking Overhaul","1.2.0.0","C:/Users/David/Downloads/CACO Patches-69306-1-2-1.7z"
14950,"Convenient Horses","5.0.0.0","Convenient Horses v5_0-14950-5-0.zip"
5941,"Coverkhajiits","1.0.0.0","coverkhajiits female version-5941-1-0.rar"
18037,"Craft Unenchanted Rings and Amulets","1.2.0.0","AmuletsAndRingsv12-18037-1-2.rar"
3829,"Deadly Dragons","6.3.5.0","Deadly Dragons package v6-3-5-3829-6-3-5.7z"
0,"Dibanana","d2015.3.10","D:/Dropbox/Games/Skyrim/Mods/Dibanana.zip"
36125,"Double Cursor Fix","1.3.0.0","C:/Users/David/Downloads/DCF_plugin-36125-1-3.zip"
24282,"Drinking Fountains of Skyrim","1.2.0.0","Drinking Fountains of Skyrim-24282-1-2.rar"
34010,"Drinking Fountains of Skyrim - Dragonborn expansion","1.0.0.0","Drinking Fountains Of Solstheim-34010-1-0.rar"
40592,"EcthelionOtW Mage Equipment Overhaul","1.4.0.0","EcthelionOtW Mage Equipment Overhaul - All in one 1_4-40592-1-4.rar"
60,"Enhanced Blood Textures","3.6.0.0","Enhanced Blood Textures 3_6 NMM-60-3-6.rar"
28741,"Enhanced HD Dragon Bones 2k v1.6a","1.6.0.0a","Enhanced HD Dragon Bones 2k v1_6a all options-28741-1-6a.rar"
5265,"Enhanced Noble Furniture 4x _byMike","1.3.0.0","Enhanced Noble Furniture v1-3 _byMike-5265-1-3.7z"
50445,"EotW Mage Robes of Skyrim","1.0.0.0","EotW Mage Robes of Skyrim - Hearthfire DLC Robes addon-50445-1-0.rar"
51869,"ETHEREAL AURORAS","1.0.0.0","Ethereal_Auroras_1_0-51869-1-0.zip"
46067,"Ethereal Elven Overhaul Patches - iNPC","4.0.1.0","Interesting NPCs EEO patch-46067-4-0-1.rar"
46067,"Ethereal Elven Overhaul Patches - Original Warpaint","4.0.1.0","Jenassa and Irileth original warpaint-46067-3-0.rar"
32695,"Even Better Quest Objectives","1.5.5.0","Even Better Quest Objectives - 1.5.4-32695-1-5-4.7z"
67504,"Exchange currency","3.0.0.0","Patch04 for Immersive Jewelry-67504-2-0-2.zip"
50376,"Extended Encounters","1.2.0.0","Extended Encounters 1_2-50376-1-2.zip"
18466,"EZ2C Dialogue Menu","3.1.0.0","EZ2C DIALOGUE MENU - FULLY CONFIGURABLE --18466-v3-1.rar"
42043,"FAR - Forgotten Argonian Roots","d2015.9.1","C:/Users/David/Desktop/FAR - Fargotten Argonian Roots.7z"
58728,"Floating Healthbars","1.2.0.0","Floating Healthbars v1.2.0-58728-1-2-0.7z"
24367,"Fort Dawnguard Enhanced","1.2.0.0","Fort Dawnguard Enhanced-24367-1-2.rar"
24239,"FPS Counter","2.1.0.0","FPS Counter-24239-2-1.zip"
11163,"Frostfall - Hypothermia Camping Survival","3.0.3.0","Frostfall 3.0.3 Release-11163-3-0-3.zip"
22940,"Functional Homes","2.1.0.0","Function Homes - Dragonborn Addon-22940-1-0.zip"
14884,"Fuz Ro Doh","6.0.0.0","C:/Users/David/Downloads/Fuz Ro Doh 60-14884-6-0.zip"
51769,"Gemling Queen Dragon Claws","3.0.0.0","SOLID with REFRACTIONS v3-0-51769-3-0.zip"
18340,"General Stores - storage resource for packrats","2.3.0.0","General Stores v2-3-18340-2-3.7z"
16553,"Harvest Overhaul","2.8.2.0","Harvest Overhaul 2_8_2_0-16553-2-8-2-0.7z"
53059,"HD Dark brotherhood door","1.0.0.0","Darkbrotherhood door retexture-53059-1-0.rar"
21120,"Heavy Armory","2.4.0.0B","C:/Users/David/Downloads/Heavy Armory.7z"
42616,"Heimfeigr","1.8.0.0","Heimfeigr 1.8-42616-1-8.zip"
35841,"Helgen Reborn","105.3.0.0","Helgen Reborn V105_3-35841-105-3.7z"
43493,"Hold Border Banners","1.0.0.0","Hold Border Banners-43493-1-0.rar"
743,"HQ Snow Texture","2.7.1.0","HQ Snow Texture 2_7_1 2048 Loose-743-2-7-1.rar"
19733,"Immersive Armors","7.1.0.0","Immersive Armors v7_1-19733-7-1.7z"
3222,"Immersive HUD","3.0.3.0","Immersive HUD - iHUD-3222-3-0-03.rar"
61441,"Immersive Idiots - Roderick Redbeard","f1.03","Roderick Redbeard 1.03-61441-1-03.rar"
64283,"Immersive Jewelry","f1.01Rel","Immersive Jewelry V1.01 Full Release-64283-V1-01Rel.rar"
12977,"Immersive Patrols","2.0.2.0","Immersive Patrols Unaggressive No Battles-12977-2-0-2.7z"
27644,"Immersive Weapons","1.5.0.0","Immersive Weapons-27644-1-5.7z"
2674,"Improved NPC Clothing - High Res","1.8.1.0","INPCC_Expansion pack_1_1-2674.rar"
36334,"Inconsequential NPCs","1.9.0.0e","Inconsequential NPCs 1 dot 9e-36334-1-9e.rar"
40960,"Inigo Follower","2.0.0.0","INIGO V2.0-40960-2-0.zip"
23916,"Invisibility Eyes Fix","d2016.6.9","C:/Users/David/Downloads/Invisibility Eyes Fix v2-23916-2-0.zip"
49743,"JContainers","3.2.3.0","JContainers-49743-3-2-3.zip"
